SalesID,SalesPersonID,CustomerID,ProductID
1,6,27039,381
2,16,25011,61
3,13,94024,23
4,8,73966,176
5,10,32653,310
6,13,28663,413
7,14,46674,370
8,3,12687,287
9,16,89009,124
10,22,65017,346
11,5,67670,405
12,17,28353,285
13,22,29082,162
14,7,33133,406
15,19,19310,134
16,16,91867,364
17,8,14612,185
18,17,96120,377
19,23,2657,49
20,18,51200,308
21,16,91382,147
22,18,23677,442
23,1,35389,392
24,23,66030,324
25,7,45384,341
26,14,87577,369
27,10,14848,330
28,6,45482,145
29,11,655,378
30,4,77357,91
31,4,87441,449
32,22,47694,124
33,15,43145,291
34,4,17875,116
35,2,75421,367
36,3,19823,150
37,20,51149,2
38,9,70699,344
39,7,61998,64
40,3,22037,419
41,17,23796,246
42,14,13389,439
43,15,74923,215
44,12,69666,21
45,5,26337,384
46,13,28160,420
47,5,86775,407
48,16,68391,335
49,18,93402,108
50,21,16869,257
51,21,12478,215
52,13,42015,352
53,20,30247,220
54,9,75366,170
55,7,69334,137
56,12,3362,392
57,15,88382,122
58,14,27995,151
59,2,28582,288
60,20,43835,393
61,3,13816,83
62,9,1193,225
63,16,12032,361
64,12,11652,34
65,18,76336,349
66,6,19976,282
67,3,83968,446
68,19,11207,46
69,6,56472,39
70,16,98247,437
71,19,40719,362
72,22,42673,294
73,11,34122,313
74,21,79380,83
75,1,27404,62
76,2,77993,161
77,4,47514,227
78,13,64482,371
79,18,39693,393
80,18,17225,374
81,10,803,415
82,18,45217,448
83,11,50839,37
84,13,82545,122
85,7,64880,328
86,15,45426,98
87,3,17448,356
88,7,66538,122
89,20,47301,431
90,14,72059,428
91,11,30201,29
92,7,23155,304
93,7,42117,57
94,11,18164,124
95,23,8222,337
96,9,22604,22
97,21,1358,78
98,4,63272,182
99,17,92090,124
100,23,6361,103
101,10,42951,426
102,10,75568,362
103,10,11920,296
104,2,93915,124
105,2,74910,347
106,22,68565,374
107,2,7893,39
108,23,49626,138
